Taxname,Taxid,GI,Accession,DNA type,Length,GC,Random
Clostridium pasteurianum BC1,86416,488453079,CP003262.1,Plasmid,53393,28.9401232371,12015
Clostridium perfringens ATCC 13124,195103,110673209,CP000246.1,Genome,3256683,28.3791514249,50423
Clostridium perfringens SM101,289380,110681940,CP000312.1,Genome,2897393,28.2490155806,86272
Clostridium perfringens SM101,289380,110684499,CP000313.1,Plasmid,12397,26.6838751311,86272
Clostridium perfringens SM101,289380,110684510,CP000314.1,Plasmid,12206,25.8233655579,86272
Clostridium phage phiSM101,396359,110684521,CP000315.1,Phage,38092,28.1292659876,86272
Clostridium perfringens str. 13,195102,15076712,AP003515.1,Plasmid,54310,25.4962253729,32948
Clostridium perfringens str. 13,195102,47118322,BA000016.3,Genome,3031430,28.5660562837,32948
Clostridium phytofermentans ISDg,357809,160426828,CP000885.1,Genome,4847594,35.3485254747,10462
Clostridium saccharobutylicum DSM 13864,1345695,549807177,CP006721.1,Genome,5107814,28.6623788572,11378
Clostridium saccharolyticum WM1,610130,302195072,CP002109.1,Genome,4662871,45.0047406415,65317
Clostridium saccharoperbutylacetonicum N1-4(HMT),931276,451782877,CP004121.1,Genome,6530257,29.5414100854,29646
Clostridium saccharoperbutylacetonicum N1-4(HMT),931276,451788599,CP004122.1,Plasmid,136188,29.3667577173,29646
Clostridium stercorarium subsp. stercorarium DSM 8532,1121335,537392242,CP003992.2,Genome,2970010,42.2549419026,52627
Clostridium stercorarium subsp. stercorarium DSM 8532,1121335,442739346,CP004044.1,Genome,2974379,42.2447845416,61354
[Clostridium] sticklandii,1511,308824094,FP565809.1,Genome,2715461,33.2997233251,85970
Clostridium sp. SY8519,1042156,338900465,AP012212.1,Genome,2835737,50.740495328,10169
Clostridium tetani E88,212717,28204652,AE015927.1,Genome,2799251,28.74929758,89425
Clostridium tetani E88,212717,28208715,AF528097.1,Plasmid,74082,24.5282254799,89425
Clostridium thermocellum ATCC 27405,203119,125712750,CP000568.1,Genome,3843301,38.9865899132,24402
Clostridium thermocellum DSM 1313,637887,316939066,CP002416.1,Genome,3561619,39.1480952904,40671
Escherichia coli O127:H6 str. E2348/69,574521,215263233,FM180568.1,Genome,4965553,50.5661504368,72528
Escherichia coli O127:H6 str. E2348/69,574521,215267788,FM180569.1,Plasmid,97978,48.0128192043,72528
Escherichia coli O127:H6 str. E2348/69,574521,215267879,FM180570.1,Plasmid,6147,52.757442655,72528
Escherichia coli 042,216592,284919779,FN554766.1,Genome,5241977,50.5629650798,44263
Escherichia coli 042,216592,284924582,FN554767.1,Plasmid,113346,49.5482857798,44263
Escherichia coli 536,362663,110341805,CP000247.1,Genome,4938920,50.5175220494,13070
Escherichia coli 55989,585055,218350208,CU928145.2,Genome,5154862,50.6562930298,26367
Escherichia coli ABU 83972,655817,307551844,CP001671.1,Genome,5131397,50.5839442943,48830
Escherichia coli ABU 83972,655817,307556638,CP001833.1,Plasmid,1564,50.895140665,48830
Escherichia coli APEC O1,405955,115511419,CP000468.1,Genome,5082025,50.5476261923,95007
Escherichia coli APEC O1,405955,88770133,DQ381420.1,Plasmid,174241,49.6456057989,95007
Escherichia coli APEC O1,405955,99867038,DQ517526.1,Plasmid,241387,46.4341493121,95007
Escherichia coli APEC O78,1274814,443419838,CP004009.1,Genome,4798435,50.6801280001,62986
Escherichia coli BL21(DE3),469008,296142109,CP001509.3,Genome,4558953,50.8326144183,34372
Escherichia coli BL21(DE3),469008,313848522,AM946981.2,Genome,4558947,50.8326155141,13513
Escherichia coli 'BL21-Gold(DE3)pLysS AG',866768,253322479,CP001665.1,Genome,4570938,50.8405495765,13398
Escherichia coli B str. REL606,413997,253972022,CP000819.1,Genome,4629812,50.7694048916,71934
Escherichia coli BW2952,595496,238859724,CP001396.1,Genome,4578159,50.790678087,72262
Escherichia coli C321.deltaA,1385755,NA,NA,NA,NA,NA,15354
Escherichia coli ATCC 8739,481805,169752989,CP000946.1,Genome,4746218,50.8665215125,5912
Escherichia coli CFT073,199310,26111730,AE014075.1,Genome,5231428,50.4753386647,59890
Escherichia coli str. 'clone D i14',885275,355423321,CP002212.1,Genome,5038386,50.5593259429,39886
Escherichia coli str. 'clone D i2',885276,355418401,CP002211.1,Genome,5038386,50.5593457905,44910
Escherichia coli DH1,536056,260447279,CP001637.1,Genome,4630707,50.8099087245,51504
Escherichia coli DH1,536056,315134697,AP012030.1,Genome,4621430,50.82915894,7049
Escherichia coli E24377A,331111,157076497,CP000795.1,Plasmid,79237,47.2721077275,71934
Escherichia coli E24377A,331111,157076566,CP000796.1,Plasmid,34367,51.6163761748,71934
Escherichia coli E24377A,331111,157076596,CP000797.1,Plasmid,70609,50.2060643827,71934
Escherichia coli E24377A,331111,157076665,CP000798.1,Plasmid,6199,52.5729956445,71934
Escherichia coli E24377A,331111,157076671,CP000799.1,Plasmid,74224,49.849105410600004,71934
Escherichia coli E24377A,331111,157076741,CP000800.1,Genome,4979619,50.6216238632,71934
Escherichia coli E24377A,331111,157081497,CP000801.1,Plasmid,5033,49.6324259885,71934
Escherichia coli ED1a,585397,218425442,CU928162.2,Genome,5209548,50.7328466884,35483
Escherichia coli ETEC H10407,316401,309700213,FN649414.1,Genome,5153435,50.7572910108,426
Escherichia coli ETEC H10407,316401,309704912,FN649415.1,Plasmid,5175,48.38647343,426
Escherichia coli ETEC H10407,316401,309704919,FN649416.1,Plasmid,5800,48.8793103448,426
Escherichia coli ETEC H10407,316401,309705521,FN649417.1,Plasmid,66681,51.0280289738,426
Escherichia coli ETEC H10407,316401,309706192,FN649418.1,Plasmid,94797,46.9128769898,426
Escherichia coli HS,331112,157065147,CP000802.1,Genome,4643538,50.8196121147,25752
Escherichia coli IAI1,585034,218359353,CU928160.2,Genome,4700560,50.7936713923,14281
Escherichia coli IAI39,585057,218368405,CU928164.2,Genome,5132068,50.6305255503,67387
Escherichia coli IHE3034,714962,294489418,CP001969.1,Genome,5108383,50.6995462165,99853
Escherichia coli JJ1886,1355100,554510692,CP006784.1,Genome,5129938,50.7907113107,61276
Escherichia coli JJ1886,1355100,554515525,CP006785.1,Plasmid,1552,51.868556701,61276
Escherichia coli JJ1886,1355100,554521644,CP006786.1,Plasmid,5167,47.5324172634,61276
Escherichia coli JJ1886,1355100,554550476,CP006787.1,Plasmid,5631,47.3805718345,61276
Escherichia coli JJ1886,1355100,554587771,CP006788.1,Plasmid,55956,45.8771177354,61276
Escherichia coli JJ1886,1355100,554590720,CP006789.1,Plasmid,110040,52.0401672119,61276
Escherichia coli str. K-12 substr. DH10B,316385,169887498,CP000948.1,Genome,4686137,50.7812938461,26956
Escherichia coli str. K-12 substr. MDS42,1110693,359330873,AP012306.1,Genome,3976195,51.1350927206,58876
Escherichia coli str. K-12 substr. MG1655,511145,545778205,U00096.3,Genome,4641652,50.7907098593,44459
Escherichia coli str. K-12 substr. W3110,316407,85674274,AP009048.1,Genome,4646332,50.7995769566,49206
Escherichia coli KO11FL,595495,323376397,CP002516.1,Genome,4920168,50.8379185426,52322
Escherichia coli KO11FL,595495,323380931,CP002517.1,Plasmid,103795,49.9754323426,52322
Escherichia coli KO11FL,595495,323381046,CP002518.1,Plasmid,5360,46.026119403,52322
Escherichia coli KO11FL,595495,383390031,CP002970.1,Genome,5021812,50.7847565779,28163
Escherichia coli KO11FL,595495,383394729,CP002971.1,Plasmid,5360,46.0074626866,28163
Escherichia coli LF82,591946,222031834,CU651637.1,Genome,4773108,50.6956054629,31312
Escherichia coli LY180,1335916,544200787,CP006584.1,Genome,4835601,50.8516314725,54689
Escherichia coli NA114,1033813,356601232,CP002797.2,Genome,4971461,51.1662668177,96514
Escherichia coli O103:H2 str. 12009,585395,257757386,AP010958.1,Genome,5449314,50.6551650355,87352
Escherichia coli O103:H2 str. 12009,585395,257762441,AP010959.1,Plasmid,75546,49.1117994335,87352
Escherichia coli O104:H4 str. 2009EL-2050,1134782,406775301,CP003297.1,Genome,5253138,50.7448500306,66841
Escherichia coli O104:H4 str. 2009EL-2050,1134782,406780272,CP003298.1,Plasmid,109274,45.3072094002,66841
Escherichia coli O104:H4 str. 2009EL-2050,1134782,406780398,CP003299.1,Plasmid,74213,47.0807001469,66841
Escherichia coli O104:H4 str. 2009EL-2050,1134782,406780485,CP003300.1,Plasmid,1549,50.8069722402,66841
Escherichia coli O104:H4 str. 2009EL-2071,1133853,407062746,CP003301.1,Genome,5312586,50.7191601228,10517
Escherichia coli O104:H4 str. 2009EL-2071,1133853,407067787,CP003302.1,Plasmid,75573,47.1676392362,10517
Escherichia coli O104:H4 str. 2009EL-2071,1133853,407067873,CP003303.1,Plasmid,1549,50.8069722402,10517
Escherichia coli O104:H4 str. 2011C-3493,1133852,407051884,CP003289.1,Genome,5273097,50.7143335311,17135
Escherichia coli O104:H4 str. 2011C-3493,1133852,407056860,CP003290.1,Plasmid,88544,49.7289483195,17135
Escherichia coli O104:H4 str. 2011C-3493,1133852,407056955,CP003291.1,Plasmid,74217,47.0943314874,17135
Escherichia coli O104:H4 str. 2011C-3493,1133852,407057050,CP003292.1,Plasmid,1549,50.8069722402,17135
Escherichia coli O111:H- str. 11128,585396,257762509,AP010960.1,Genome,5371077,50.6170736335,27719
Escherichia coli O111:H- str. 11128,585396,257767482,AP010961.1,Plasmid,204604,46.9858849289,27719
Escherichia coli O111:H- str. 11128,585396,257767705,AP010962.1,Plasmid,97897,48.1638865338,27719
Escherichia coli O111:H- str. 11128,585396,257767827,AP010963.1,Plasmid,77690,49.9948513322,27719
Escherichia coli O111:H- str. 11128,585396,257767900,AP010964.1,Plasmid,8140,49.6437346437,27719
Escherichia coli O111:H- str. 11128,585396,257767911,AP010965.1,Plasmid,6673,50.2023078076,27719
Escherichia coli O157:H7 str. EC4115,444450,209156984,CP001163.1,Plasmid,94644,47.8868179705,45298
Escherichia coli O157:H7 str. EC4115,444450,209157093,CP001164.1,Genome,5572075,50.5224893778,45298
Escherichia coli O157:H7 str. EC4115,444450,209162409,CP001165.1,Plasmid,37452,39.7148349888,45298
Escherichia coli O157:H7 str. EDL933,155864,56384585,AE005174.2,Genome,5528445,50.3884365314,16099
Escherichia coli O157:H7 str. EDL933,155864,3822114,AF074613.1,Plasmid,92077,47.6351314661,16099
Escherichia coli O157:H7 str. TW14359,544404,254590536,CP001368.1,Genome,5528136,50.5068254471,59913
Escherichia coli O157:H7 str. TW14359,544404,254595800,CP001369.1,Plasmid,94601,47.893785478,59913
Escherichia coli O157:H7 str. Sakai,386585,4589704,AB011548.2,Plasmid,3306,43.4059286146,55833
Escherichia coli O157:H7 str. Sakai,386585,4589740,AB011549.2,Plasmid,92721,47.5997886132,55833
Escherichia coli O157:H7 str. Sakai,386585,47118301,BA000007.2,Genome,5498450,50.5370604443,55833
Escherichia coli O26:H11 str. 11368,573235,257751862,AP010953.1,Genome,5697240,50.6848228265,58341
Escherichia coli O26:H11 str. 11368,573235,257757227,AP010954.1,Plasmid,85167,47.4784834502,58341
Escherichia coli O26:H11 str. 11368,573235,257757293,AP010955.1,Plasmid,63365,52.5005918094,58341
Escherichia coli O26:H11 str. 11368,573235,257757375,AP010956.1,Plasmid,5686,46.2187829757,58341
Escherichia coli O26:H11 str. 11368,573235,257757382,AP010957.1,Plasmid,4073,44.1198134054,58341
Escherichia coli O55:H7 str. CB9615,701177,290760697,CP001846.1,Genome,5386352,50.5230627334,55568
Escherichia coli O55:H7 str. CB9615,701177,290765712,CP001847.1,Plasmid,66001,48.8719867881,55568
Escherichia coli O55:H7 str. RM12579,1048689,374356928,CP003109.1,Genome,5263980,50.4645914308,40936
Escherichia coli O55:H7 str. RM12579,1048689,374361841,CP003110.1,Plasmid,94015,48.0742434718,40936
Escherichia coli O55:H7 str. RM12579,1048689,374361948,CP003111.1,Plasmid,66078,48.9134053694,40936
Escherichia coli O55:H7 str. RM12579,1048689,374362028,CP003112.1,Plasmid,12068,48.9310573417,40936
Escherichia coli O55:H7 str. RM12579,1048689,374362044,CP003113.1,Plasmid,6211,52.519723072,40936
Escherichia coli O55:H7 str. RM12579,1048689,374362052,CP003114.1,Plasmid,5954,45.8011420894,40936
Escherichia coli O7:K1 str. CE10,1072459,349736152,CP003034.1,Genome,5313531,50.557981124,20333
Escherichia coli O7:K1 str. CE10,1072459,349741162,CP003035.1,Plasmid,54289,49.208863674,20333
Escherichia coli O7:K1 str. CE10,1072459,349741228,CP003036.1,Plasmid,5163,47.4917683517,20333
Escherichia coli O7:K1 str. CE10,1072459,349741574,CP003037.1,Plasmid,4197,42.3635930426,20333
Escherichia coli O7:K1 str. CE10,1072459,349741934,CP003038.1,Plasmid,1549,51.065203357,20333
Escherichia coli O83:H1 str. NRG 857C,685038,312944605,CP001855.1,Genome,4747819,50.680259715,76466
Escherichia coli O83:H1 str. NRG 857C,685038,312949035,CP001856.1,Plasmid,147060,50.9207126343,76466
Escherichia coli P12b,910348,383101383,CP002291.1,Genome,4935294,50.8882145623,3590
Escherichia coli S88,585035,218349681,CU928146.1,Plasmid,133853,49.2928809963,857
Escherichia coli S88,585035,218363708,CU928161.2,Genome,5032268,50.6809653222,857
Escherichia coli SE11,409438,209910450,AP009240.1,Genome,4887515,50.796549985,82565
Escherichia coli SE11,409438,209915130,AP009241.1,Plasmid,100021,50.4604033153,82565
Escherichia coli SE11,409438,209915255,AP009242.1,Plasmid,91158,50.2369512275,82565
Escherichia coli SE11,409438,209915368,AP009243.1,Plasmid,60555,48.5888861366,82565
Escherichia coli SE11,409438,209915436,AP009244.1,Plasmid,6929,48.0011545678,82565
Escherichia coli SE11,409438,209915447,AP009245.1,Plasmid,5366,46.2169213567,82565
Escherichia coli SE11,409438,209915455,AP009246.1,Plasmid,4082,49.4365507104,82565
Escherichia coli SE15,431946,281177210,AP009378.1,Genome,4717338,50.7384249337,40762
Escherichia coli SE15,431946,281181549,AP009379.1,Plasmid,122345,51.0400915444,40762
Escherichia coli SMS-3-5,439855,170517292,CP000970.1,Genome,5068389,50.4966765574,85948
Escherichia coli SMS-3-5,439855,170522036,CP000971.1,Plasmid,130440,50.8118675253,85948
Escherichia coli SMS-3-5,439855,170522190,CP000972.1,Plasmid,8909,46.8402738803,85948
Escherichia coli SMS-3-5,439855,170522201,CP000973.1,Plasmid,4074,49.558173785,85948
Escherichia coli SMS-3-5,439855,170522206,CP000974.1,Plasmid,3565,43.0294530154,85948
Escherichia coli UM146,869729,307625127,CP002167.1,Genome,4993013,50.5806213603,13962
Escherichia coli UM146,869729,307629778,CP002168.1,Plasmid,114550,50.9384548232,13962
Escherichia coli UMN026,585056,218349957,CU928148.1,Plasmid,122301,50.4632014456,69820
Escherichia coli UMN026,585056,218350100,CU928149.1,Plasmid,33809,42.0331864296,69820
Escherichia coli UMN026,585056,218430358,CU928163.2,Genome,5202090,50.7163274761,69820
Escherichia coli UMNK88,696406,332341332,CP002729.1,Genome,5186416,50.7228498447,58791
Escherichia coli UMNK88,696406,332346451,CP002730.1,Plasmid,81883,49.4693648254,58791
Escherichia coli UMNK88,696406,332346539,CP002731.1,Plasmid,90868,50.336752212,58791
Escherichia coli UMNK88,696406,332346629,CP002732.1,Plasmid,81475,50.3737342743,58791
Escherichia coli UMNK88,696406,332347800,CP002733.1,Plasmid,65549,51.8940029596,58791
Escherichia coli UMNK88,696406,305670679,HQ023862.1,Plasmid,160573,52.5860512041,58791
Escherichia coli UTI89,364106,91070629,CP000243.1,Genome,5065741,50.6041860411,18773
Escherichia coli UTI89,364106,91075696,CP000244.1,Plasmid,114230,51.0251247483,18773
Escherichia coli W,566546,315059226,CP002185.1,Genome,4900968,50.8436088544,94243
Escherichia coli W,566546,315063705,CP002186.1,Plasmid,102536,49.9463603027,94243
Escherichia coli W,566546,315063834,CP002187.1,Plasmid,5360,46.026119403,94243
Escherichia coli W,566546,383403426,CP002967.1,Genome,4897452,50.8472569001,90785
Escherichia coli W,566546,383394742,CP002968.1,Plasmid,102535,49.946847418,90785
Escherichia coli W,566546,383394982,CP002969.1,Plasmid,5360,46.026119403,90785
Escherichia coli Xuzhou21,741093,386794017,CP001925.1,Genome,5386223,50.5123905936,55306
Escherichia coli Xuzhou21,741093,386799057,CP001926.1,Plasmid,92728,47.6005090156,55306
Escherichia coli Xuzhou21,741093,328551627,CP001927.1,Plasmid,37785,40.5451898902,55306
Francisella cf. novicida 3523,676032,328675182,CP002558.1,Genome,1945310,32.3236913397,33372
Francisella cf. novicida Fx1,984129,328676078,CP002557.1,Genome,1913619,32.5367797874,81000
Francisella noatunensis subsp. orientalis LADL--07-285A,1356861,564747871,CP006875.1,Genome,1858987,32.2985045081,29062
Francisella noatunensis subsp. orientalis str. Toba 04,1163389,386870570,CP003402.1,Genome,1847202,32.2162925332,56054
Francisella philomiragia subsp. philomiragia ATCC 25017,484022,167596226,CP000937.1,Genome,2045775,32.5733279564,76663
Francisella philomiragia subsp. philomiragia ATCC 25017,484022,167598138,CP000938.1,Plasmid,3936,28.4298780488,76663
Francisella tularensis subsp. tularensis FSC198,393115,110319990,AM286280.1,Genome,1892616,32.2600041424,65407
Francisella tularensis subsp. holarctica F92,1232394,421950472,CP003932.1,Genome,1886888,32.1719678116,65829
Francisella tularensis subsp. holarctica FSC200,351581,407293146,CP003862.1,Genome,1894157,32.1548847324,83572
Francisella tularensis subsp. holarctica FTNF002-00,458234,156251972,CP000803.1,Genome,1890909,32.1614630847,32915
Francisella tularensis subsp. holarctica LVS,376619,89143280,AM233362.1,Genome,1895994,32.1526333944,55987
Francisella tularensis subsp. holarctica OSU18,393011,115128880,CP000437.1,Genome,1895727,32.1581113736,59383
Francisella tularensis subsp. mediasiatica FSC147,441952,187711822,CP000915.1,Genome,1893886,32.2542117107,66451
Francisella tularensis subsp. tularensis NE061598,510831,282158286,CP001633.1,Genome,1892681,32.2600057802,90745
Francisella novicida U112,401614,118422521,CP000439.1,Genome,1910031,32.4750226567,48832
Francisella tularensis subsp. tularensis TI0902,1001534,377826522,CP003049.1,Genome,1892744,32.2584565055,3324
Francisella tularensis subsp. tularensis TIGB03,1001542,377828067,CP003048.1,Genome,1968651,32.2992241896,94684
Francisella tularensis subsp. tularensis SCHU S4,177416,240248234,AJ749949.2,Genome,1892775,32.2593546512,24990
Francisella sp. TX077308,573569,336445622,CP002872.1,Genome,2035931,32.8659468322,81111
Listeria innocua Clip11262,272626,30407126,AL592022.1,Genome,3011208,37.4389613736,4275
Listeria innocua Clip11262,272626,16415787,AL592102.1,Plasmid,81905,35.5204199988,4275
Listeria ivanovii subsp. ivanovii PAM 55,881621,346980581,FR687253.1,Genome,2928879,37.1320221832,45559
Listeria monocytogenes 07PF0776,1126011,384389519,CP003414.1,Genome,2901562,38.0436468357,10742
Listeria monocytogenes 08-5923,637381,284058907,CP001604.1,Genome,2999054,37.9649716211,55014
Listeria monocytogenes 10403S,393133,345535581,CP002002.1,Genome,2903106,38.0319561187,93134
Listeria monocytogenes serotype 4b str. F2365,265669,83316099,AE017262.2,Genome,2905187,38.0412345229,82156
Listeria monocytogenes ATCC 19117,882095,404217535,FR733643.1,Genome,2951805,37.9925841985,99778
Listeria monocytogenes serotype 4b str. CLIP 80459,568819,225875101,FM242711.1,Genome,2912690,38.0623409975,84393
Listeria monocytogenes Finland 1998,393127,346644924,CP002004.1,Genome,2874431,38.0504176305,92199
Listeria monocytogenes FSL R2-561,393126,346422776,CP002003.1,Genome,2973801,37.964241723,61151
Listeria monocytogenes HCC23,552536,217332573,CP001175.1,Genome,2976212,38.1936837833,40963
Listeria monocytogenes J0161,393130,345532625,CP002001.1,Genome,3000464,37.8627772238,11468
Listeria monocytogenes J1-220,930782,523918028,CP006047.1,Genome,3032271,37.9370775237,27983
Listeria monocytogenes J1816,930781,523917454,CP006046.1,Genome,2947460,37.9701505703,65421
Listeria monocytogenes L312,882094,406359805,FR733642.2,Genome,2912346,38.063059815,51624
Listeria monocytogenes,1639,441469547,HE999704.1,Genome,2776517,38.1109858142,45371
Listeria monocytogenes M7,1030009,336021869,CP002816.1,Genome,2976163,38.1930693984,95107
Listeria monocytogenes N53-1,1234142,441472679,HE999705.1,Genome,2776847,38.1046921202,75646
Listeria monocytogenes serotype 1/2a str. 08-6569,1196183,571335248,CP006858.1,Genome,3032624,37.9562385578,92744
Listeria monocytogenes serotype 1/2a str. 08-6997,1196184,571338240,CP006859.1,Genome,3032624,37.9562715325,29271
Listeria monocytogenes serotype 1/2a str. 10-0815,1196188,571341595,CP006860.1,Genome,3032624,37.9562715325,28448
Listeria monocytogenes serotype 1/2a str. 10-1047,1196190,571344587,CP006861.1,Genome,2998206,37.96813828,62408
Listeria monocytogenes serotype 1/2a str. 88-0478,1196176,571347529,CP006862.1,Genome,2994351,37.9694297696,14292
Listeria monocytogenes,1639,306480620,FR667692.1,Plasmid,57780,36.0384215992,67428
Listeria monocytogenes SLCC2755,932919,404226187,FR733646.1,Genome,2966146,38.0788740676,67428
Listeria monocytogenes SLCC2372,932920,306480565,FR667691.1,Plasmid,50100,35.4810379242,82219
Listeria monocytogenes SLCC2372,932920,404231932,FR733648.1,Genome,2972810,37.9535523629,82219
Listeria monocytogenes L99,563174,307569523,FM211688.1,Genome,2979198,38.1930304733,97060
Listeria monocytogenes serotype 4b str. 81-0861,1196161,571332344,CP006874.1,Genome,2974403,37.9572976493,37264
Listeria monocytogenes serotype 4b str. LL195,1230340,424012034,HF558398.1,Genome,2904662,38.0376098837,7838
Listeria monocytogenes serotype 7 str. SLCC2482,863767,306480509,FR667690.1,Plasmid,50100,35.4790419162,16351
Listeria monocytogenes serotype 7 str. SLCC2482,863767,404244296,FR720325.1,Genome,2936689,38.0103238715,16351
Listeria monocytogenes SLCC2376,882097,404240632,FR733651.1,Genome,2840185,38.2644440415,35577
Listeria monocytogenes SLCC2378,879088,404220404,FR733644.1,Genome,2941360,37.9923572769,49099
Listeria monocytogenes SLCC2479,882020,404234869,FR733649.1,Genome,2972172,37.9537254237,32529
Listeria monocytogenes SLCC2540,879089,404223279,FR733645.1,Genome,2976958,37.9310356411,25408
Listeria monocytogenes SLCC5850,882096,404229065,FR733647.1,Genome,2907142,38.0099424108,28962
Listeria monocytogenes SLCC7179,879090,404237805,FR733650.1,Genome,2882234,38.0404228109,91749
Listeria monocytogenes EGD-e,169963,30407125,AL591824.1,Genome,2944528,37.9810278591,30157
Listeria monocytogenes 08-5578,653938,284055817,CP001602.1,Genome,3032288,37.9550689117,64021
Listeria monocytogenes 08-5578,653938,284058828,CP001603.1,Plasmid,77054,36.5925195318,64021
Listeria seeligeri serovar 1/2b str. SLCC3954,683837,289169617,FN557490.1,Genome,2797636,37.3826330516,73666
Listeria welshimeri serovar 6b str. SLCC5334,386043,116740300,AM263198.1,Genome,2814130,36.3520164314,64668
Pseudomonas aeruginosa B136-33,1280938,477548288,CP004061.1,Genome,6421010,66.4234131391,73552
Pseudomonas aeruginosa c7447m,1352355,543873856,CP006728.1,Genome,6262305,66.4447356045,75810
Pseudomonas aeruginosa DK2,1093787,392316915,CP003149.1,Genome,6402658,66.2702427648,90967
Pseudomonas aeruginosa LES431,1408272,566561164,CP006937.1,Genome,6550070,66.3406803286,92464
Pseudomonas aeruginosa LESB58,557722,218768969,FM209186.1,Genome,6601757,66.2973811366,47583
Pseudomonas aeruginosa M18,941193,347302377,CP002496.1,Genome,6327754,66.5042762408,86586
Pseudomonas aeruginosa MTB-1,1415629,563408818,CP006853.1,Genome,6580038,66.2411979992,91933
Pseudomonas aeruginosa NCGM2.S1,1089456,348031532,AP012280.1,Genome,6764661,66.143802328,176
Pseudomonas aeruginosa PA1R,1279008,557709751,CP004055.1,Genome,6309305,66.2887750711,85657
Pseudomonas aeruginosa PA1,1279007,557703951,CP004054.1,Genome,6528877,66.3376565373,14487
Pseudomonas aeruginosa PA7,381754,150958624,CP000744.1,Genome,6588339,66.4494343719,26819
Pseudomonas aeruginosa PAO1-VE13,1367494,553895034,CP006832.1,Genome,6265484,66.5499105895,65957
Pseudomonas aeruginosa PAO1-VE2,1367493,553886202,CP006831.1,Genome,6265484,66.5496392617,91800
Pseudomonas aeruginosa PAO581,1352354,543879514,CP006705.1,Genome,6043974,66.3512119675,69003
Pseudomonas aeruginosa RP73,1340851,514245605,CP006245.1,Genome,6342034,66.4610596537,73953
Pseudomonas aeruginosa SCV20265,1427342,567363169,CP006931.1,Genome,6725183,66.2533495371,95564
Pseudomonas aeruginosa PAO1,208964,110227054,AE004091.2,Genome,6264404,66.5557329955,88020
Pseudomonas brassicacearum subsp. brassicacearum NFM421,994484,327374765,CP002585.1,Genome,6843248,60.7893210943,10859
Pseudomonas cichorii JBC1,1441629,572998810,CP007039.1,Genome,5986012,58.1033750016,10460
Pseudomonas denitrificans ATCC 13867,1294143,472247168,CP004143.1,Genome,5696307,65.2393910651,76627
Pseudomonas entomophila L48,384676,95101722,CT573326.1,Genome,5888780,64.1597240855,64000
Pseudomonas sp. FGI182,1259844,568237447,CP007012.1,Genome,5891312,63.2822875448,85167
Pseudomonas fluorescens A506,1037911,387159426,CP003041.1,Genome,5962570,60.0317648262,75310
Pseudomonas fluorescens A506,1037911,510145422,CP003042.1,Plasmid,56977,51.9086648999,75310
Pseudomonas protegens CHA0,1124983,500239649,CP003190.1,Genome,6867980,63.3905893727,71981
Pseudomonas fluorescens F113,1114970,359757955,CP003150.1,Genome,6845832,60.7839923621,59159
Pseudomonas fluorescens Pf0-1,205922,253992019,CP000094.2,Genome,6438405,60.520952006,79824
Pseudomonas fluorescens SBW25,216595,229359445,AM181176.4,Genome,6722539,60.5045653138,53142
Pseudomonas fulva 12-X,743720,333113473,CP002727.1,Genome,4920769,63.511678764,23922
Pseudomonas mendocina NK-01,1001585,328915200,CP002620.1,Genome,5434353,62.5079379275,34079
Pseudomonas mendocina ymp,399739,145573243,CP000680.1,Genome,5072807,64.6761447853,75825
Pseudomonas monteilii SB3078,1435044,567348216,CP006978.1,Genome,6000087,62.4612109791,84163
Pseudomonas monteilii SB3101,1435058,567355861,CP006979.1,Genome,5945120,62.4933054337,14923
Pseudomonas putida ND6,231023,42602315,AY208917.2,Plasmid,101858,56.9645977734,46300
Pseudomonas putida ND6,231023,388557647,CP003588.1,Genome,6085449,61.7726152992,46300
Pseudomonas putida ND6,231023,388563801,CP003589.1,Plasmid,117003,57.8130475287,46300
Pseudomonas poae RE*1-1-14,1282356,445198867,CP004045.1,Genome,5512241,60.847267019,44821
Pseudomonas putida BIRD-1,931281,313496345,CP002290.1,Genome,5731541,61.7416502822,30836
Pseudomonas putida DOT-T1E,1196325,397329500,CP003734.1,Genome,6260702,61.4299961889,16259
Pseudomonas putida F1,351746,148509317,CP000712.1,Genome,5959964,61.8619340654,97640
Pseudomonas putida GB-1,76869,166857509,CP000926.1,Genome,6078430,61.9422449547,66190
Pseudomonas putida H8234,1331671,511519639,CP005976.1,Genome,6870827,61.597897895,29030
Pseudomonas putida HB3267,1215088,430790723,CP003738.1,Genome,5875750,62.5983576565,13622
Pseudomonas putida HB3267,1215088,430799226,CP003739.1,Plasmid,80360,60.0323544052,13622
Pseudomonas putida KT2440,160488,24987239,AE015451.1,Genome,6181863,61.524090715,73810
Pseudomonas putida NBRC 14164,1211579,512381003,AP013070.1,Genome,6156701,62.3307839702,69582
Pseudomonas putida S16,1042876,338835784,CP002870.1,Genome,5984790,62.3224206697,55059
Pseudomonas sp. UW4,1207075,426265132,CP003880.1,Genome,6183388,60.0548598923,5897
Pseudomonas putida W619,390235,169757190,CP000949.1,Genome,5774330,61.4355951253,99169
Pseudomonas resinovorans NBRC 106553,1245471,512374267,AP013068.1,Genome,6285863,65.5545149489,41731
Pseudomonas resinovorans NBRC 106553,1245471,512379920,AP013069.1,Plasmid,198965,56.3772522806,41731
Pseudomonas stutzeri A1501,379731,145568602,CP000304.1,Genome,4567418,63.8784976545,42584
